Parameters Information
----------------------------------------------------
Instance: instances/bisect.txt
Algorithm: jmetal.metaheuristics.singleObjective.geneticAlgorithm.gGA@4e877a44
Fitness Function: F1
Population: 50
maxEvaluations: 50000
crossoverProbability: 0.95
mutationsProbability; 0.1
crossoverOperator: SinglePointCrossover
mutationOperator: BitFlipMutation
selectionOperator: BinaryTournament
executions: 30
----------------------------------------------------
50: -0.12215909090909091
290: -0.23863636363636365
530: -0.3181818181818182
770: -0.4772727272727273
1010: -0.4772727272727273
1250: -0.4772727272727273
1490: -0.4772727272727273
1730: -0.4772727272727273
1970: -0.4772727272727273
2210: -0.4772727272727273
2450: -0.4772727272727273
2690: -0.4772727272727273
2930: -0.48863636363636365
3170: -0.5
3410: -0.8409090909090909
3650: -0.8409090909090909
3890: -0.8409090909090909
4130: -0.8409090909090909
4370: -0.8409090909090909
4610: -0.9545454545454546
4850: -0.9545454545454546
5090: -0.9545454545454546
5330: -0.9545454545454546
5570: -0.9545454545454546
5810: -0.9545454545454546
6050: -0.9545454545454546
6290: -0.9545454545454546
6530: -0.9545454545454546
6770: -0.9545454545454546
7010: -0.9545454545454546
7250: -0.9545454545454546
7490: -0.9545454545454546
7730: -0.9545454545454546
7970: -0.9545454545454546
8210: -0.9545454545454546
8450: -0.9545454545454546
8690: -0.9545454545454546
8930: -0.9545454545454546
9170: -0.9545454545454546
9410: -0.9545454545454546
9650: -0.9545454545454546
9890: -0.9545454545454546
10130: -0.9545454545454546
10370: -0.9545454545454546
10610: -0.9545454545454546
10850: -0.9545454545454546
11090: -0.9545454545454546
11330: -0.9545454545454546
11570: -0.9545454545454546
11810: -0.9545454545454546
12050: -0.9545454545454546
12290: -0.9545454545454546
12530: -0.9545454545454546
12770: -0.9545454545454546
13010: -0.9545454545454546
13250: -0.9545454545454546
13490: -0.9545454545454546
13730: -0.9545454545454546
13970: -0.9545454545454546
14210: -0.9545454545454546
14450: -0.9545454545454546
14690: -0.9545454545454546
14930: -0.9545454545454546
15170: -0.9545454545454546
15410: -0.9545454545454546
15650: -0.9545454545454546
15890: -0.9545454545454546
16130: -0.9545454545454546
16370: -0.9545454545454546
16610: -0.9545454545454546
16850: -0.9545454545454546
17090: -0.9545454545454546
17330: -0.9545454545454546
17570: -0.9545454545454546
17810: -0.9545454545454546
18050: -0.9545454545454546
18290: -0.9545454545454546
18530: -0.9545454545454546
18770: -0.9545454545454546
19010: -0.9545454545454546
19250: -0.9545454545454546
19490: -0.9545454545454546
19730: -0.9545454545454546
19970: -0.9545454545454546
20210: -0.9545454545454546
20450: -0.9545454545454546
20690: -0.9545454545454546
20930: -0.9545454545454546
21170: -0.9545454545454546
21410: -0.9545454545454546
21650: -0.9545454545454546
21890: -0.9545454545454546
22130: -0.9545454545454546
22370: -0.9545454545454546
22610: -0.9545454545454546
22850: -0.9545454545454546
23090: -0.9545454545454546
23330: -0.9545454545454546
23570: -0.9545454545454546
23810: -0.9545454545454546
24050: -0.9545454545454546
24290: -0.9545454545454546
24530: -0.9545454545454546
24770: -0.9545454545454546
25010: -0.9545454545454546
25250: -0.9545454545454546
25490: -0.9545454545454546
25730: -0.9545454545454546
25970: -0.9545454545454546
26210: -0.9545454545454546
26450: -0.9545454545454546
26690: -0.9545454545454546
26930: -0.9545454545454546
27170: -0.9545454545454546
27410: -0.9545454545454546
27650: -0.9545454545454546
27890: -0.9545454545454546
28130: -0.9545454545454546
28370: -0.9545454545454546
28610: -0.9545454545454546
28850: -0.9545454545454546
29090: -0.9545454545454546
29330: -0.9545454545454546
29570: -0.9545454545454546
29810: -0.9545454545454546
30050: -0.9545454545454546
30290: -0.9545454545454546
30530: -0.9545454545454546
30770: -0.9545454545454546
31010: -0.9545454545454546
31250: -0.9545454545454546
31490: -0.9545454545454546
31730: -0.9545454545454546
31970: -0.9545454545454546
32210: -0.9545454545454546
32450: -0.9545454545454546
32690: -0.9545454545454546
32930: -0.9545454545454546
33170: -0.9545454545454546
33410: -0.9545454545454546
33650: -0.9545454545454546
33890: -0.9545454545454546
34130: -0.9545454545454546
34370: -0.9545454545454546
34610: -0.9545454545454546
34850: -0.9545454545454546
35090: -0.9545454545454546
35330: -0.9545454545454546
35570: -0.9545454545454546
35810: -0.9545454545454546
36050: -0.9545454545454546
36290: -0.9545454545454546
36530: -0.9545454545454546
36770: -0.9545454545454546
37010: -0.9545454545454546
37250: -0.9545454545454546
37490: -0.9545454545454546
37730: -0.9545454545454546
37970: -0.9545454545454546
38210: -0.9545454545454546
38450: -0.9545454545454546
38690: -0.9545454545454546
38930: -0.9545454545454546
39170: -0.9545454545454546
39410: -0.9545454545454546
39650: -0.9545454545454546
39890: -0.9545454545454546
40130: -0.9545454545454546
40370: -0.9545454545454546
40610: -0.9545454545454546
40850: -0.9545454545454546
41090: -0.9545454545454546
41330: -0.9545454545454546
41570: -0.9545454545454546
41810: -0.9545454545454546
42050: -0.9545454545454546
42290: -0.9545454545454546
42530: -0.9545454545454546
42770: -0.9545454545454546
43010: -0.9545454545454546
43250: -0.9545454545454546
43490: -0.9545454545454546
43730: -0.9545454545454546
43970: -0.9545454545454546
44210: -0.9545454545454546
44450: -0.9545454545454546
44690: -0.9545454545454546
44930: -0.9545454545454546
45170: -0.9545454545454546
45410: -0.9545454545454546
45650: -0.9545454545454546
45890: -0.9545454545454546
46130: -0.9545454545454546
46370: -0.9545454545454546
46610: -0.9545454545454546
46850: -0.9545454545454546
47090: -0.9545454545454546
47330: -0.9545454545454546
47570: -0.9545454545454546
47810: -0.9545454545454546
48050: -0.9545454545454546
48290: -0.9545454545454546
48530: -0.9545454545454546
48770: -0.9545454545454546
49010: -0.9545454545454546
49250: -0.9545454545454546
49490: -0.9545454545454546
49730: -0.9545454545454546
49970: -0.9545454545454546
Evaluations: 50018
Total time of execution: 1633
Objectives values have been writen to file experiment/bisect/gGa/F1/50_1000_0.95_0.1_SinglePointCrossover_BitFlipMutation_BinaryTournament_30/FUN
Variables values have been writen to file experiment/bisect/gGa/F1/50_1000_0.95_0.1_SinglePointCrossover_BitFlipMutation_BinaryTournament_30/FUN
