Parameters Information
----------------------------------------------------
Instance: instances/bisect.txt
Algorithm: jmetal.metaheuristics.singleObjective.geneticAlgorithm.gGA@1e69dff6
Fitness Function: F2
Population: 200
maxEvaluations: 200000
crossoverProbability: 0.95
mutationsProbability; 0.1
crossoverOperator: SinglePointCrossover
mutationOperator: BitFlipMutation
selectionOperator: BinaryTournament
executions: 30
----------------------------------------------------
200: -0.7372727272727273
1190: -0.8172727272727273
2180: -0.8572727272727273
3170: -0.88
4160: -0.88
5150: -0.88
6140: -0.88
7130: -0.88
8120: -0.88
9110: -0.88
10100: -0.88
11090: -0.88
12080: -0.88
13070: -0.88
14060: -0.88
15050: -0.88
16040: -0.88
17030: -0.88
18020: -0.8972727272727273
19010: -0.8972727272727273
20000: -0.8972727272727273
20990: -0.8972727272727273
21980: -0.8972727272727273
22970: -0.8972727272727273
23960: -0.8972727272727273
24950: -0.8972727272727273
25940: -0.8972727272727273
26930: -0.8972727272727273
27920: -0.8972727272727273
28910: -0.8972727272727273
29900: -0.92
30890: -0.92
31880: -0.92
32870: -0.92
33860: -0.92
34850: -0.92
35840: -0.92
36830: -0.92
37820: -0.92
38810: -0.92
39800: -0.92
40790: -0.92
41780: -0.92
42770: -0.92
43760: -0.92
44750: -0.92
45740: -0.92
46730: -0.92
47720: -0.92
48710: -0.92
49700: -0.92
50690: -0.92
51680: -0.92
52670: -0.92
53660: -0.92
54650: -0.92
55640: -0.92
56630: -0.92
57620: -0.92
58610: -0.92
59600: -0.92
60590: -0.92
61580: -0.92
62570: -0.92
63560: -0.92
64550: -0.92
65540: -0.92
66530: -0.92
67520: -0.92
68510: -0.92
69500: -0.92
70490: -0.92
71480: -0.92
72470: -0.92
73460: -0.92
74450: -0.92
75440: -0.92
76430: -0.92
77420: -0.92
78410: -0.92
79400: -0.92
80390: -0.92
81380: -0.92
82370: -0.92
83360: -0.92
84350: -0.92
85340: -0.92
86330: -0.92
87320: -0.92
88310: -0.92
89300: -0.92
90290: -0.92
91280: -0.92
92270: -0.92
93260: -0.92
94250: -0.92
95240: -0.92
96230: -0.92
97220: -0.92
98210: -0.92
99200: -0.92
100190: -0.92
101180: -0.92
102170: -0.92
103160: -0.92
104150: -0.92
105140: -0.92
106130: -0.92
107120: -0.92
108110: -0.92
109100: -0.92
110090: -0.92
111080: -0.92
112070: -0.92
113060: -0.92
114050: -0.92
115040: -0.92
116030: -0.92
117020: -0.92
118010: -0.92
119000: -0.92
119990: -0.92
120980: -0.92
121970: -0.92
122960: -0.92
123950: -0.92
124940: -0.92
125930: -0.92
126920: -0.92
127910: -0.92
128900: -0.92
129890: -0.92
130880: -0.92
131870: -0.92
132860: -0.92
133850: -0.92
134840: -0.92
135830: -0.92
136820: -0.92
137810: -0.92
138800: -0.92
139790: -0.92
140780: -0.92
141770: -0.92
142760: -0.92
143750: -0.92
144740: -0.92
145730: -0.92
146720: -0.92
147710: -0.92
148700: -0.92
149690: -0.92
150680: -0.92
151670: -0.92
152660: -0.92
153650: -0.92
154640: -0.92
155630: -0.92
156620: -0.92
157610: -0.92
158600: -0.92
159590: -0.92
160580: -0.92
161570: -0.92
162560: -0.92
163550: -0.92
164540: -0.92
165530: -0.92
166520: -0.92
167510: -0.92
168500: -0.92
169490: -0.92
170480: -0.92
171470: -0.92
172460: -0.92
173450: -0.92
174440: -0.92
175430: -0.92
176420: -0.92
177410: -0.92
178400: -0.92
179390: -0.92
180380: -0.92
181370: -0.92
182360: -0.92
183350: -0.92
184340: -0.92
185330: -0.92
186320: -0.92
187310: -0.92
188300: -0.92
189290: -0.92
190280: -0.92
191270: -0.92
192260: -0.92
193250: -0.92
194240: -0.92
195230: -0.92
196220: -0.92
197210: -0.92
198200: -0.92
199190: -0.92
Evaluations: 200180
Total time of execution: 2193
Objectives values have been writen to file experiment/bisect/gGa/F2/200_1000_0.95_0.1_SinglePointCrossover_BitFlipMutation_BinaryTournament_30/FUN
Variables values have been writen to file experiment/bisect/gGa/F2/200_1000_0.95_0.1_SinglePointCrossover_BitFlipMutation_BinaryTournament_30/FUN
