Parameters Information
----------------------------------------------------
Instance: instances/bisect.txt
Algorithm: jmetal.metaheuristics.singleObjective.geneticAlgorithm.gGA@4e877a44
Fitness Function: F1
Population: 200
maxEvaluations: 200000
crossoverProbability: 0.95
mutationsProbability; 0.1
crossoverOperator: SinglePointCrossover
mutationOperator: BitFlipMutation
selectionOperator: BinaryTournament
executions: 30
----------------------------------------------------
200: -0.16287878787878787
1190: -0.3181818181818182
2180: -0.48863636363636365
3170: -0.5909090909090909
4160: -0.5909090909090909
5150: -0.5909090909090909
6140: -0.5909090909090909
7130: -0.5909090909090909
8120: -0.9090909090909091
9110: -0.9090909090909091
10100: -0.9090909090909091
11090: -0.9090909090909091
12080: -0.9090909090909091
13070: -0.9090909090909091
14060: -0.9090909090909091
15050: -0.9090909090909091
16040: -0.9090909090909091
17030: -0.9090909090909091
18020: -0.9090909090909091
19010: -0.9090909090909091
20000: -0.9090909090909091
20990: -0.9090909090909091
21980: -0.9090909090909091
22970: -0.9090909090909091
23960: -0.9090909090909091
24950: -0.9090909090909091
25940: -0.9090909090909091
26930: -0.9090909090909091
27920: -0.9090909090909091
28910: -0.9090909090909091
29900: -0.9545454545454546
30890: -0.9545454545454546
31880: -0.9545454545454546
32870: -0.9545454545454546
33860: -0.9545454545454546
34850: -0.9545454545454546
35840: -0.9545454545454546
36830: -0.9545454545454546
37820: -0.9545454545454546
38810: -0.9545454545454546
39800: -0.9545454545454546
40790: -0.9545454545454546
41780: -0.9545454545454546
42770: -0.9545454545454546
43760: -0.9545454545454546
44750: -0.9545454545454546
45740: -0.9545454545454546
46730: -0.9545454545454546
47720: -0.9545454545454546
48710: -0.9545454545454546
49700: -0.9545454545454546
50690: -0.9545454545454546
51680: -0.9545454545454546
52670: -0.9545454545454546
53660: -0.9545454545454546
54650: -0.9545454545454546
55640: -0.9545454545454546
56630: -0.9545454545454546
57620: -0.9545454545454546
58610: -0.9545454545454546
59600: -0.9545454545454546
60590: -0.9545454545454546
61580: -0.9545454545454546
62570: -0.9545454545454546
63560: -0.9545454545454546
64550: -0.9545454545454546
65540: -0.9545454545454546
66530: -0.9545454545454546
67520: -0.9545454545454546
68510: -0.9545454545454546
69500: -0.9545454545454546
70490: -0.9545454545454546
71480: -0.9545454545454546
72470: -0.9545454545454546
73460: -0.9545454545454546
74450: -0.9545454545454546
75440: -0.9545454545454546
76430: -0.9545454545454546
77420: -0.9545454545454546
78410: -0.9545454545454546
79400: -0.9545454545454546
80390: -0.9545454545454546
81380: -0.9545454545454546
82370: -0.9545454545454546
83360: -0.9545454545454546
84350: -0.9545454545454546
85340: -0.9545454545454546
86330: -0.9545454545454546
87320: -0.9545454545454546
88310: -0.9545454545454546
89300: -0.9545454545454546
90290: -0.9545454545454546
91280: -0.9545454545454546
92270: -0.9545454545454546
93260: -0.9545454545454546
94250: -0.9545454545454546
95240: -0.9545454545454546
96230: -0.9545454545454546
97220: -0.9545454545454546
98210: -0.9545454545454546
99200: -0.9545454545454546
100190: -0.9545454545454546
101180: -0.9545454545454546
102170: -0.9545454545454546
103160: -0.9545454545454546
104150: -0.9545454545454546
105140: -0.9545454545454546
106130: -0.9545454545454546
107120: -0.9545454545454546
108110: -0.9545454545454546
109100: -0.9545454545454546
110090: -0.9545454545454546
111080: -0.9545454545454546
112070: -0.9545454545454546
113060: -0.9545454545454546
114050: -0.9545454545454546
115040: -0.9545454545454546
116030: -0.9545454545454546
117020: -0.9545454545454546
118010: -0.9545454545454546
119000: -0.9545454545454546
119990: -0.9545454545454546
120980: -0.9545454545454546
121970: -0.9545454545454546
122960: -0.9545454545454546
123950: -0.9545454545454546
124940: -0.9545454545454546
125930: -0.9545454545454546
126920: -0.9545454545454546
127910: -0.9545454545454546
128900: -0.9545454545454546
129890: -0.9545454545454546
130880: -0.9545454545454546
131870: -0.9545454545454546
132860: -0.9545454545454546
133850: -0.9545454545454546
134840: -0.9545454545454546
135830: -0.9545454545454546
136820: -0.9545454545454546
137810: -0.9545454545454546
138800: -0.9545454545454546
139790: -0.9545454545454546
140780: -0.9545454545454546
141770: -0.9545454545454546
142760: -0.9545454545454546
143750: -0.9545454545454546
144740: -0.9545454545454546
145730: -0.9545454545454546
146720: -0.9545454545454546
147710: -0.9545454545454546
148700: -0.9545454545454546
149690: -0.9545454545454546
150680: -0.9545454545454546
151670: -0.9545454545454546
152660: -0.9545454545454546
153650: -0.9545454545454546
154640: -0.9545454545454546
155630: -0.9545454545454546
156620: -0.9545454545454546
157610: -0.9545454545454546
158600: -0.9545454545454546
159590: -0.9545454545454546
160580: -0.9545454545454546
161570: -0.9545454545454546
162560: -0.9545454545454546
163550: -0.9545454545454546
164540: -0.9545454545454546
165530: -0.9545454545454546
166520: -0.9545454545454546
167510: -0.9545454545454546
168500: -0.9545454545454546
169490: -0.9545454545454546
170480: -0.9545454545454546
171470: -0.9545454545454546
172460: -0.9545454545454546
173450: -0.9545454545454546
174440: -0.9545454545454546
175430: -0.9545454545454546
176420: -0.9545454545454546
177410: -0.9545454545454546
178400: -0.9545454545454546
179390: -0.9545454545454546
180380: -0.9545454545454546
181370: -0.9545454545454546
182360: -0.9545454545454546
183350: -0.9545454545454546
184340: -0.9545454545454546
185330: -0.9545454545454546
186320: -0.9545454545454546
187310: -0.9545454545454546
188300: -0.9545454545454546
189290: -0.9545454545454546
190280: -0.9545454545454546
191270: -0.9545454545454546
192260: -0.9545454545454546
193250: -0.9545454545454546
194240: -0.9545454545454546
195230: -0.9545454545454546
196220: -0.9545454545454546
197210: -0.9545454545454546
198200: -0.9545454545454546
199190: -0.9545454545454546
Evaluations: 200180
Total time of execution: 2344
Objectives values have been writen to file experiment/bisect/gGa/F1/200_1000_0.95_0.1_SinglePointCrossover_BitFlipMutation_BinaryTournament_30/FUN
Variables values have been writen to file experiment/bisect/gGa/F1/200_1000_0.95_0.1_SinglePointCrossover_BitFlipMutation_BinaryTournament_30/FUN
