Parameters Information
----------------------------------------------------
Instance: instances/bisect.txt
Algorithm: jmetal.metaheuristics.singleObjective.geneticAlgorithm.gGA@206c2ea3
Fitness Function: F2
Population: 100
maxEvaluations: 100000
crossoverProbability: 0.95
mutationsProbability; 0.1
crossoverOperator: SinglePointCrossover
mutationOperator: BitFlipMutation
selectionOperator: BinaryTournament
executions: 30
----------------------------------------------------
100: -0.6972727272727273
590: -0.84
1080: -0.84
1570: -0.8572727272727273
2060: -0.8572727272727273
2550: -0.8572727272727273
3040: -0.88
3530: -0.88
4020: -0.88
4510: -0.88
5000: -0.88
5490: -0.88
5980: -0.88
6470: -0.88
6960: -0.88
7450: -0.88
7940: -0.88
8430: -0.88
8920: -0.92
9410: -0.92
9900: -0.92
10390: -0.92
10880: -0.92
11370: -0.92
11860: -0.92
12350: -0.92
12840: -0.92
13330: -0.92
13820: -0.92
14310: -0.92
14800: -0.92
15290: -0.92
15780: -0.92
16270: -0.92
16760: -0.92
17250: -0.92
17740: -0.92
18230: -0.92
18720: -0.92
19210: -0.92
19700: -0.92
20190: -0.92
20680: -0.92
21170: -0.92
21660: -0.92
22150: -0.92
22640: -0.92
23130: -0.92
23620: -0.92
24110: -0.92
24600: -0.92
25090: -0.92
25580: -0.92
26070: -0.92
26560: -0.92
27050: -0.92
27540: -0.92
28030: -0.92
28520: -0.92
29010: -0.92
29500: -0.92
29990: -0.92
30480: -0.92
30970: -0.92
31460: -0.92
31950: -0.92
32440: -0.92
32930: -0.92
33420: -0.92
33910: -0.92
34400: -0.92
34890: -0.92
35380: -0.92
35870: -0.92
36360: -0.92
36850: -0.92
37340: -0.92
37830: -0.92
38320: -0.92
38810: -0.92
39300: -0.92
39790: -0.92
40280: -0.92
40770: -0.92
41260: -0.92
41750: -0.92
42240: -0.92
42730: -0.92
43220: -0.92
43710: -0.92
44200: -0.92
44690: -0.92
45180: -0.92
45670: -0.92
46160: -0.92
46650: -0.92
47140: -0.92
47630: -0.92
48120: -0.92
48610: -0.92
49100: -0.92
49590: -0.92
50080: -0.92
50570: -0.92
51060: -0.92
51550: -0.92
52040: -0.92
52530: -0.92
53020: -0.92
53510: -0.92
54000: -0.92
54490: -0.92
54980: -0.92
55470: -0.92
55960: -0.92
56450: -0.92
56940: -0.92
57430: -0.92
57920: -0.92
58410: -0.92
58900: -0.92
59390: -0.92
59880: -0.92
60370: -0.92
60860: -0.92
61350: -0.92
61840: -0.92
62330: -0.92
62820: -0.92
63310: -0.92
63800: -0.92
64290: -0.92
64780: -0.92
65270: -0.92
65760: -0.92
66250: -0.92
66740: -0.92
67230: -0.92
67720: -0.92
68210: -0.92
68700: -0.92
69190: -0.92
69680: -0.92
70170: -0.92
70660: -0.92
71150: -0.92
71640: -0.92
72130: -0.92
72620: -0.92
73110: -0.92
73600: -0.92
74090: -0.92
74580: -0.92
75070: -0.92
75560: -0.92
76050: -0.92
76540: -0.92
77030: -0.92
77520: -0.92
78010: -0.92
78500: -0.92
78990: -0.92
79480: -0.92
79970: -0.92
80460: -0.92
80950: -0.92
81440: -0.92
81930: -0.92
82420: -0.92
82910: -0.92
83400: -0.92
83890: -0.92
84380: -0.92
84870: -0.92
85360: -0.92
85850: -0.92
86340: -0.92
86830: -0.92
87320: -0.92
87810: -0.92
88300: -0.92
88790: -0.92
89280: -0.92
89770: -0.92
90260: -0.92
90750: -0.92
91240: -0.92
91730: -0.92
92220: -0.92
92710: -0.92
93200: -0.92
93690: -0.92
94180: -0.92
94670: -0.92
95160: -0.92
95650: -0.92
96140: -0.92
96630: -0.92
97120: -0.92
97610: -0.92
98100: -0.92
98590: -0.92
99080: -0.92
99570: -0.92
Evaluations: 100060
Total time of execution: 1682
Objectives values have been writen to file experiment/bisect/gGa/F2/100_1000_0.95_0.1_SinglePointCrossover_BitFlipMutation_BinaryTournament_30/FUN
Variables values have been writen to file experiment/bisect/gGa/F2/100_1000_0.95_0.1_SinglePointCrossover_BitFlipMutation_BinaryTournament_30/FUN
